Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2026-02-14 09:36:08,false,"Long run ","19.85","1,414","02:03:05","137","157","3.9","174","194","6:12","4:14","486","493","0.93","0.0","21,368","No","00:00:04.5","18","02:03:04","02:03:05","-98","31"
Running,2026-02-13 20:06:42,false,"EZ","5.67","422","00:34:06","139","154","3.0","177","182","6:01","5:29","--","--","0.94","0.0","6,016","No","00:00:05.3","9","00:34:06","00:34:06","28","29"
Running,2026-02-11 17:35:57,false,"VO2max Intervals ","8.94","636","00:53:05","135","157","3.4","174","194","5:56","4:16","163","163","0.96","0.0","9,118","No","00:00:04.4","16","00:53:05","00:53:05","-3","18"
Running,2026-02-10 20:51:42,false,"EZ + strides","6.22","435","00:36:00","135","156","3.1","179","224","5:48","3:03","3","3","0.96","0.0","6,414","No","00:00:10.0","9","00:36:00","00:36:00","28","29"
Running,2026-02-09 20:20:23,false,"EZ","5.67","420","00:32:51","142","151","3.2","179","184","5:48","5:25","2","2","0.96","0.0","5,880","No","00:32:51","1","00:32:51","00:32:51","28","29"
Running,2026-02-07 08:30:39,false,"Long run","18.90","1,349","01:56:05","136","153","3.9","175","204","6:08","4:15","343","347","0.93","0.0","20,188","No","00:00:04.5","18","01:56:05","01:56:05","-4","31"
Running,2026-02-06 21:07:26,false,"EZ + strides","4.09","296","00:24:07","135","148","2.7","178","212","5:54","3:23","--","--","0.95","0.0","4,264","No","00:00:06.8","9","00:24:07","00:24:07","28","29"
Running,2026-02-04 21:01:47,false,"HM Power Tempo ","9.95","708","00:55:05","144","158","3.9","180","190","5:32","4:33","3","2","1.00","0.0","9,886","No","00:00:04.4","12","00:55:05","00:55:05","28","30"
Running,2026-02-03 20:37:12,false,"EZ","5.13","372","00:30:58","135","144","2.9","178","182","6:02","5:42","2","2","0.93","0.0","5,526","No","00:00:55.8","2","00:30:57","00:30:58","28","29"
Running,2026-02-02 16:48:44,false,"Supra Threshold Intervals ","9.93","715","00:55:05","144","160","3.9","180","200","5:33","4:07","160","160","1.00","0.0","9,798","No","00:00:04.5","18","00:55:05","00:55:05","-2","14"
Running,2026-01-31 07:53:18,false,"20' Testing ","10.59","770","01:02:52","141","172","4.2","168","208","5:56","3:44","176","179","0.97","0.0","10,394","No","00:00:10.0","13","01:00:50","01:02:52","-3","14"
Running,2026-01-28 21:23:21,false,"3' Testing","7.01","512","00:45:25","138","174","3.1","167","214","6:29","3:15","102","107","0.91","0.0","7,530","No","00:00:05.1","13","00:45:18","00:45:25","-3","26"
Running,2026-01-27 18:23:42,false,"EZ + strides ","5.14","369","00:30:07","138","154","3.0","177","226","5:51","3:05","1","2","0.96","0.0","5,280","No","00:00:05.6","9","00:30:06","00:30:07","28","29"
Running,2026-01-24 09:22:52,false,"Long run","18.09","1,311","01:50:05","140","157","4.1","176","210","6:05","4:08","312","306","0.93","0.0","19,194","No","00:00:04.9","16","01:50:04","01:50:05","-4","31"
Treadmill Running,2026-01-23 19:44:00,false,"Treadmill Running","0.51","45","00:10:19","82","153","0.9","65","248","20:03","4:19","--","--","0.77","0.0","950","No","00:10:19","1","00:04:11","00:10:19","--","--"
Running,2026-01-22 10:23:11,false,"Half Marathon Power Tempo ","9.81","708","00:55:05","149","162","4.0","179","194","5:37","4:23","1","1","0.99","0.0","9,808","No","00:00:04.6","12","00:55:03","00:55:05","28","30"
Running,2026-01-20 16:42:09,false,"Drapetsona Running","4.91","370","00:30:06","136","143","3.0","175","196","6:08","4:23","82","81","0.93","0.0","5,264","No","00:00:05.1","2","00:30:06","00:30:06","-3","10"
Running,2026-01-19 18:07:48,false,"Near Threshold Intervals ","8.97","644","00:50:06","149","167","3.9","176","192","5:35","4:23","3","4","1.00","0.0","8,552","No","00:00:04.7","14","00:49:48","00:50:36","28","29"
Running,2026-01-18 17:39:45,false,"EZ","5.54","399","00:34:09","134","143","2.9","173","184","6:10","5:00","74","69","0.94","0.0","5,900","No","00:00:09.1","9","00:34:09","00:34:09","-3","18"
Running,2026-01-17 09:11:37,false,"Long run ","17.32","1,241","01:44:03","138","154","4.0","175","206","6:00","4:04","300","293","0.95","0.0","18,072","No","00:00:02.1","16","01:44:03","01:44:03","-4","31"
