Timestamp,Power (w/kg),Form Power (w/kg),Air Power (w/kg),Watch Speed (m/s),Stryd Speed (m/s),Watch Distance (meters),Stryd Distance (meters),Stiffness,Stiffness/kg,Ground Time (ms),Cadence (spm),Vertical Oscillation (cm),Watch Elevation (m),Stryd Elevation (m)
1770749502,0,0,0,0.83,0,0,0,0,0,0,106,0,33.2,33
1770749503,0,0,0,0.942,0,1.34,0,0,0,0,116,0,33.2,33
1770749504,1.1216216216216217,0.33783783783783783,0,1.166,0.94922,3.18,0.94922,0,0,1024,96,0,33.2,33
1770749505,1.2432432432432432,0.33783783783783783,0,1.605,0.94922,5.53,1.89844,0,0,902,96,0,33.2,33
1770749506,1.445945945945946,0.33783783783783783,0,1.894,0.94922,8.42,2.84766,0,0,920,96,0,33.2,33
1770749507,1.7027027027027026,0.47297297297297297,0,2.165,0.94922,11.15,3.79688,0,0,838,168,0,33.2,33
1770749508,1.9324324324324325,0.4864864864864865,0,2.407,0.94922,13.95,4.74609,0,0,838,172,0,33.2,33
1770749509,2.1486486486486487,0.4864864864864865,0,2.566,0.94922,17,5.69531,0,0,528,174,0,33.2,33
1770749510,2.2837837837837838,0.5,0,2.641,0.94922,19.64,6.64453,4.75,0.06418918918918919,430,176,9.25,33.2,33
1770749511,2.3378378378378377,0.5,0,2.669,0.94922,22.51,7.59375,7.375,0.09966216216216216,342,176,6.125,33.2,33
1770749512,2.364864864864865,0.5,0,2.706,0.94922,25.62,8.54297,7.375,0.09966216216216216,256,176,6.125,33.2,33
1770749513,2.418918918918919,0.5405405405405406,0,2.706,0.94922,28.46,9.49219,13,0.17567567567567569,256,178,6,33.2,33
1770749514,2.554054054054054,0.5405405405405406,0,2.706,0.94922,31.27,10.44141,13,0.17567567567567569,250,178,6,33.2,33
1770749515,2.554054054054054,0.5405405405405406,0,2.715,0.94922,34.17,11.39063,13,0.17567567567567569,250,178,6,33,33
1770749516,2.824324324324324,0.5405405405405406,0,2.706,0.94922,37.01,12.33984,13,0.17567567567567569,252,178,6,33,33
1770749517,2.8378378378378377,0.9324324324324325,0,2.706,0.94922,39.83,13.28906,12.875,0.17398648648648649,252,180,6.25,33,33
1770749518,2.8378378378378377,0.9324324324324325,0,2.697,0.94922,42.59,14.23828,12.875,0.17398648648648649,252,180,6.25,32.8,33
1770749519,2.8513513513513513,0.9324324324324325,0,2.678,0.94922,45.41,15.1875,12.875,0.17398648648648649,252,180,6.25,32.8,33
1770749520,2.8378378378378377,0.9324324324324325,0,2.659,0.94922,48.33,16.13672,13,0.17567567567567569,252,180,6.25,32.8,33
1770749521,2.8378378378378377,0.9324324324324325,0,2.65,0.94922,51.29,17.08594,13,0.17567567567567569,252,180,6.25,32.8,33
1770749522,2.8378378378378377,0.9324324324324325,0,2.65,0.94922,54.16,18.03516,13,0.17567567567567569,252,180,6.25,32.8,33
1770749523,2.8513513513513513,0.9324324324324325,0,2.65,2.65234,56.95,20.6875,13,0.17567567567567569,252,180,6.125,32.8,33
1770749524,2.8513513513513513,0.9324324324324325,0,2.65,2.65625,59.85,23.34375,13,0.17567567567567569,252,180,6,32.8,32
1770749525,2.824324324324324,0.9324324324324325,0,2.641,2.65625,62.63,26,13,0.17567567567567569,252,180,6,32.8,32
1770749526,2.7972972972972974,0.9324324324324325,0,2.641,2.64063,65.38,28.64063,13,0.17567567567567569,252,180,6.125,32.8,32
1770749527,2.7972972972972974,0.918918918918919,0,2.622,2.64063,67.94,31.28125,13,0.17567567567567569,252,178,6.125,32.8,32
1770749528,2.7972972972972974,0.918918918918919,0,2.613,2.625,70.57,33.90625,13,0.17567567567567569,252,178,6.125,32.8,33
1770749529,2.810810810810811,0.9324324324324325,0,2.613,2.61328,73.44,36.51953,13,0.17567567567567569,252,178,6.125,33,33
1770749530,2.810810810810811,0.9324324324324325,0,2.622,2.61328,76.42,39.13281,12.75,0.17229729729729729,252,178,6,33,33
1770749531,2.7972972972972974,0.9324324324324325,0,2.613,2.62891,79.41,41.76172,12.75,0.17229729729729729,252,178,6,33,33
1770749532,2.77027027027027,0.918918918918919,0,2.631,2.62109,82.14,44.38281,12.75,0.17229729729729729,252,180,6,33,33
1770749533,2.7837837837837838,0.918918918918919,0,2.65,2.63672,84.72,47.01953,12.625,0.17060810810810811,252,180,6.125,33,33
1770749534,2.810810810810811,0.918918918918919,0,2.669,2.65234,87.6,49.67188,12.625,0.17060810810810811,252,180,6,33,33
1770749535,2.8513513513513513,0.918918918918919,0,2.687,2.67188,90.55,52.34375,12.625,0.17060810810810811,252,180,6,33.2,33
1770749536,2.864864864864865,0.918918918918919,0,2.687,2.67188,93.64,55.01563,12.625,0.17060810810810811,252,180,6.125,33.4,33
